,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],outcome
robotic[T.True],-0.1443372304346924,0.17745913760181273,-0.8133547383655155,0.41601470169645416,-0.492150748861783,0.20347628799239822,major_clavien
splenectomy[T.True],0.10650243457139484,0.1272079060144058,0.83723125321577,0.4024625932312461,-0.14282047976559664,0.3558253489083863,major_clavien
"bs(bmi, df=4, include_intercept=False)[0]",-1.1468864184350944,0.8992042614592076,-1.2754459332454164,0.20215144945435237,-2.9092943856400795,0.6155215487698906,major_clavien
"bs(bmi, df=4, include_intercept=False)[1]",1.1339294845309966,0.6891841243871107,1.6453215394933778,0.0999035202167045,-0.21684657798451323,2.4847055470465067,major_clavien
"bs(bmi, df=4, include_intercept=False)[2]",-1.8333799007810512,1.2476179710159725,-1.4695042419820832,0.1416960720946388,-4.278666190437295,0.6119063888751921,major_clavien
"bs(bmi, df=4, include_intercept=False)[3]",-0.06686609944561203,1.2999639801752372,-0.05143688630249461,0.9589773926435208,-2.6147486817884174,2.4810164828971937,major_clavien
age,-0.00877577826648389,0.004465144103445843,-1.9653964268950341,0.04936837272817208,-0.01752729989501913,-2.4256637948649046e-05,major_clavien
centre_volume,-0.029832693411138214,0.009933453915897053,-3.003254825936758,0.0026710867177474986,-0.049301905328384805,-0.010363481493891623,major_clavien
Intercept,-1.083505973909487,0.745450123020411,-1.4534922464286986,0.14608713091381503,-2.544561367300445,0.37754941948147125,popf_bc
asa_ge3[T.True],0.24888599579524412,0.15525981281331008,1.6030290857977105,0.10892823272739026,-0.055417645565274065,0.5531896371557623,popf_bc
sex_male[T.True],0.3538953844128494,0.1198983943378791,2.951627387232194,0.0031610412796752767,0.11889884970642522,0.5888919191192736,popf_bc
malignant[T.True],-0.015435897850024949,0.14121695457142827,-0.10930626493731241,0.9129595776707148,-0.2922160428164533,0.26134424711640336,popf_bc
robotic[T.True],-0.4758134624506346,0.1889110290138729,-2.518717223310941,0.011778320652883867,-0.8460722756002267,-0.10555464930104252,popf_bc
splenectomy[T.True],0.2536944447708206,0.12416767255619851,2.0431601845158047,0.04103658372181275,0.010330278516509028,0.49705861102513216,popf_bc
"bs(bmi, df=4, include_intercept=False)[0]",-0.2816616150040175,0.936803586482445,-0.3006624003881262,0.7636719429846865,-2.1177629050975635,1.5544396750895286,popf_bc
"bs(bmi, df=4, include_intercept=False)[1]",0.8741891944544502,0.6954382581509174,1.2570335097450764,0.20874150172885908,-0.48884474499261654,2.2372231339015167,popf_bc
"bs(bmi, df=4, include_intercept=False)[2]",-0.27175833388350656,1.2342368254188845,-0.2201832973110936,0.8257284042587765,-2.6908180600975706,2.147301392330557,popf_bc
"bs(bmi, df=4, include_intercept=False)[3]",2.7331702147477643,1.2180981956153363,2.2438012178214186,0.02484519402616627,0.34574162170847966,5.120598807787049,popf_bc
age,-0.010498511391647028,0.004308348310446946,-2.436783341353828,0.014818555009840768,-0.01894271891297703,-0.002054303870317022,popf_bc
centre_volume,-0.023908375967223013,0.009353385151144656,-2.556120119173873,0.010584657342106814,-0.04224067399699827,-0.005576077937447757,popf_bc
Intercept,-2.073717454189998,0.8601148879535142,-2.410977281330438,0.015909839444512703,-3.7595116571455898,-0.38792325123440596,conversion
asa_ge3[T.True],-0.16728920342373935,0.17169468996939205,-0.9743411601929095,0.32988717414282476,-0.5038046121005182,0.16922620525303952,conversion
sex_male[T.True],0.6019292198994667,0.13298529501302295,4.526284051484949,6.002988075833435e-06,0.3412828312005077,0.8625756085984257,conversion
malignant[T.True],-0.043654638905227576,0.14800453571883562,-0.2949547369829148,0.7680284568592547,-0.3337381984627174,0.24642892065226224,conversion
robotic[T.True],-1.0375508689027526,0.24328730254837533,-4.2647144262551295,2.00158040167778e-05,-1.514385219793468,-0.5607165180120373,conversion
splenectomy[T.True],1.189815145068487,0.14239948058710786,8.35547391158256,6.517053702631835e-17,0.910717291700545,1.468912998436429,conversion
"bs(bmi, df=4, include_intercept=False)[0]",-1.0057103339414613,1.0611850927721695,-0.9477237673158508,0.3432700980972775,-3.0855948967057096,1.0741742288227871,conversion
"bs(bmi, df=4, include_intercept=False)[1]",0.872075247804081,0.7976614858100141,1.0932899021926585,0.27426653503089027,-0.691312536238254,2.4354630318464157,conversion
"bs(bmi, df=4, include_intercept=False)[2]",-0.6194749410034971,1.3809424447641585,-0.44858852977706315,0.6537285096669836,-3.326072397463941,2.0871225154569464,conversion
"bs(bmi, df=4, include_intercept=False)[3]",1.322852163472993,1.3255509503749408,0.9979640262781417,0.3182968029497656,-1.2751799589347312,3.9208842858807174,conversion
age,0.0034578306620766295,0.005113130350793218,0.6762649150026468,0.4988724641672072,-0.00656372067373673,0.01347938199788999,conversion
centre_volume,-0.05328962042497089,0.012156195556181958,-4.383741622013541,1.1665812599057927e-05,-0.07711532590411338,-0.0294639149458284,conversion
